Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",01005,2,100n,
"C2, C3",0805,2,22u,
C4,0603,1,1u,
C5,0603,1,10u,
D1,0603,1,POWER,
D4,D_SOD-923,1,ESD3.3,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"R1, R2",0402,2,5.1K,
R3,0402,1,1K,
"R7, R8",0402,2,10K,
SW1,SW_SPST_B3U-1000P,1,RESET,
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,TO-252-3_TabPin2,1,LM1117DT-3.3,
