Designator,Mid X,Mid Y,Rotation,Layer
C1,126.5,-68.6625,90.0,top
C2,124.0,-68.805,180.0,top
C3,124.0,-66.5,180.0,top
C4,132.7,-56.775,270.0,top
C5,136.5,-60.5,90.0,top
C6,135.0,-59.6875,90.0,top
D1,125.5,-62.5,180.0,top
D4,134.5,-56.0,90.0,top
J1,135.96,-81.5,90.0,top
J2,136.0,-77.5,90.0,top
J4,126.0,-80.0,0.0,bottom
R1,127.5,-79.5,270.0,top
R2,124.5,-79.5,270.0,top
R3,125.0975,-60.5,180.0,top
R7,136.0,-56.7025,90.0,top
R8,125.0975,-58.5,180.0,top
SW1,129.0,-56.5,270.0,top
U1,130.25,-64.25,0.0,bottom
U2,126.5,-72.5,270.0,top
U3,133.565,-66.525,0.0,top
